,Restaurant_ID,Restaurants_Name,Address,City,State,Postal_Code,Latitude,Longitude,Stars_Rating,Review_Count,Restaurants_Delivery,Outdoor_Seating,Accepts_CreditCards,Price_Range,Alcohol,Good_For_Kids,Reservations,Restaurants_TakeOut,WiFi,Good_For_Groups,Wheelchair_Accessible,Happy_Hour,Noise_Level,Dietary_Restrictions,Total_Estimate_Households_per_Zip,Total_Estimate_Married-couple_Family_households,Total_Estimate_Nonfamily_households,Median_Income(dollars),Mean_Income(dollars),Population
4555,xCdqyXUbY0Tzfmbx9tx0YQ,Panera Bread,4848 Veterans Blvd,Metairie,LA,70006,30.004876,-90.190491,3.0,142,1,1,1,2,1,1,0,1,1,1,0,0,4,0,6223,2964,2064,67321,82738,15703
4556,pb1oZS_fVHwBkw3ysqF9pQ,The BrickHaus,13 E Hinckley Ave,Ridley Park,PA,19078,39.8792719,-75.32322854,4.5,70,1,1,1,1,1,1,0,1,1,0,0,0,1,0,4528,2107,1687,84063,95485,11067
4557,Z_xbp4N5MDssZxdUohybTg,Main Event Newark,2900 Fashion Center Blvd,Newark,DE,19702,39.67054974,-75.64565154,2.5,140,1,0,1,2,1,1,0,1,1,1,1,0,1,0,20009,9410,7019,79567,99630,51899
4558,hBmWWvU6BSL6i_eYapOFGQ,The Greene Turtle Sports Bar & Grille,425 Stanton Christiana Rd,Christiana,DE,19713,39.69046016,-75.65473616,3.0,73,1,0,1,2,1,1,0,1,1,1,0,1,3,0,11688,4771,4859,59030,75486,30408
4561,9gOB2Tqc_LtvSRDxviFlHA,LaScala's Fire,"500 Rte 73 S, Ste E-14",Marlton,NJ,8053,39.87627526,-74.91960029,4.0,267,1,1,1,2,1,1,1,1,1,1,1,0,4,0,18109,10081,6155,99454,124618,45538
4562,ff0fdH-WKmY7WQgLtLkmKw,Sushi Maru,"2020 W Brandon Blvd, Ste 160",Brandon,FL,33511,27.93860254,-82.31786539,4.5,435,1,1,1,2,1,1,0,1,1,1,1,1,1,0,22334,9691,7955,61149,79120,52003
4563,96OCV6C4CsrUR4mMOM0iqQ,Buffalo Wild Wings,5600 Belleville Crossing St,Belleville,IL,62226,38.524889,-90.033922,2.5,32,1,1,1,2,1,1,0,1,1,1,1,1,4,0,11997,5192,4931,58686,82726,29744
4565,gm4cW6bfnr33jOnh7V95GQ,Nothing To It Culinary Center,225 Crummer Ln,Reno,NV,89502,39.47231694,-119.7894611,4.5,89,1,1,1,2,0,1,0,1,1,1,0,0,4,0,18616,6344,8448,48782,65655,43566
4566,G1M1OJmxp5dPY3rRYpl5WQ,Bob Evans,402 Eagle Run Rd,Newark,DE,19702,39.66962738,-75.67038283,2.5,42,1,0,1,2,1,1,0,1,1,1,0,0,4,0,20009,9410,7019,79567,99630,51899
4568,gB1s0hriUgVjenK4uK4a9Q,Bosco's Italian To Go,30122 State Rd 54,Wesley Chapel,FL,33543,28.239987,-82.317939,3.5,42,1,0,1,1,1,1,0,1,0,1,1,0,1,0,9822,5932,2307,84375,99790,21898
4569,W5qWPa1LPo9stvCGeVSRAg,Pho Don,3528 Germantown Ave,Philadelphia,PA,19140,40.00673,-75.15034,4.5,43,1,1,1,1,0,1,1,1,1,1,0,0,1,0,19693,4066,8419,23138,36525,54133
4571,NKNgAfsVH_-ZA4FQ8yI-4Q,Paul's Landing,501 5th Avenue NE,St. Petersburg,FL,33701,27.77791579,-82.62896333,3.5,66,0,1,1,2,1,0,1,1,1,1,1,0,1,0,9120,2230,6371,46786,87867,15014
4572,xhtmIQ-NgT86Qzw7L6xhLw,Zoes Kitchen,"500 W Germantown Pike, Ste 520",Plymouth Meeting,PA,19462,40.117755,-75.28305295,3.5,114,1,1,1,2,1,1,0,1,1,1,0,0,2,0,6055,3601,1676,101843,118282,14658
4575,aPD0HkuA7MXNhZZqXiGF4g,McCreary's Irish Pub and Eatery,414 Main St,Franklin,TN,37064,35.9244793,-86.8709509,3.5,146,1,1,1,2,1,1,0,1,1,1,1,1,4,0,21795,14497,4934,105342,134928,48118
4576,cUvwzWvx1rNJ2wZ8hEyNaA,The Violetwood Cafe,1552 Haines Rd,Levittown,PA,19055,40.1356022,-74.832174,4.0,39,1,0,1,1,1,1,1,1,1,1,0,0,1,0,4863,2576,1332,71958,78855,13924
4580,XfHm9UpQ_R602cF1ReHfKQ,Ruby Tuesday,11 Matthews Rd,Malvern,PA,19355,40.05055134,-75.52343211,3.0,32,0,0,1,2,1,1,1,1,1,1,0,0,4,0,10090,6457,2800,133686,187043,24760
4581,2LokHe7GtKZD9Q6w0dRe_A,Queen & Rook Game Cafe,607 S 2nd St,Philadelphia,PA,19147,39.9408669,-75.1455409,4.5,66,1,0,1,1,1,1,1,1,1,0,1,1,1,0,18239,6207,10326,86147,128426,36228
4582,vNKjW_72cptNU_22jl5QwQ,Top Deck Restaurant,38 E 2nd St,Reno,NV,89501,39.5267893,-119.8125674,3.5,375,0,0,1,2,1,1,0,1,0,1,0,0,4,0,2776,332,2213,44393,55619,4252
4583,hT5UJB4LmoB6MTeDZIi1BA,La Michoacana,4950 S Virginia St,Reno,NV,89502,39.481169,-119.790021,3.5,199,0,0,1,1,1,1,0,1,0,1,0,0,4,0,18616,6344,8448,48782,65655,43566
4585,T3tiN6g7G2XUoDjRv3d8Cw,Irwin's,800 Mifflin St,Philadelphia,PA,19148,39.925195,-75.1600137,4.0,111,0,1,1,1,1,0,1,0,0,1,1,0,1,0,19493,7020,7959,60226,75581,49732
4588,3ZsPvGcda1JqVWj6w2Z9NQ,La Campagnola,700 S Broad St,Lansdale,PA,19446,40.233513,-75.292146,2.5,53,0,0,1,2,1,1,1,1,0,1,0,0,4,0,22647,12428,7315,87083,118037,55138
4589,5Y7cqSgUSfLwn7ulBeO_sA,Bluestone Lane - Philadelphia,1 S Penn Sq,Philadelphia,PA,19107,39.95138859,-75.1631134,4.0,88,1,1,1,2,1,0,0,1,1,1,0,0,4,0,7823,1743,5771,60676,91522,14875
4592,MaTHSI-lt2xS8CHs8up7NQ,Ken's Sushi Japanese Restaurant,1108 Murfreesboro Pike,Nashville,TN,37217,36.126478,-86.7097342,4.0,153,0,0,1,2,1,1,1,1,1,1,0,1,1,0,12724,3932,5878,50423,65837,29599
4593,Jw3mUNF9_ZiawPDZryUdcw,Jimmy's Fish House &  Iguana Bar,521 S Gulfview Blvd,Clearwater Beach,FL,33767,27.967869,-82.828375,3.5,405,0,1,1,2,1,1,0,1,1,1,0,1,4,0,4049,2123,1706,87340,143679,8007
4594,w2c2pV1uh0QS-oIigi-y7g,Panca,3915 Nolensville Pike,Nashville,TN,37211,36.085529,-86.730188,4.0,89,1,0,1,2,1,1,0,1,1,1,0,0,1,0,29353,11228,13064,59075,75023,74755
4595,Z_aduoQnr307oEYzNp61DA,Saltgrass Steak House,4860 Veterans Blvd,Metairie,LA,70006,30.0049441,-90.19219988,3.5,190,1,1,1,2,1,1,1,1,1,1,0,1,4,0,6223,2964,2064,67321,82738,15703
4597,ggX5HgWTcHBkMU37EgJLig,Tony Luke's Beef and Beer Sports Bar,26 E Oregon Ave,Philadelphia,PA,19148,39.9140772,-75.1486742,4.0,70,0,1,1,2,1,1,0,1,0,1,0,0,4,0,19493,7020,7959,60226,75581,49732
4598,JpjoRpJ1k_SlWk7wXaLHJQ,Smokehouse On Shelby,1105 Prospect St,Indianapolis,IN,46203,39.752257,-86.139259,3.5,101,0,0,1,2,1,1,0,1,0,1,0,0,4,0,14085,4662,6134,41321,58332,38950
4599,qBG3wfTzzgb1HOK2OWigaw,Karichimaka Restaurant,5252 S Mission Rd,Tucson,AZ,85746,32.1575234,-111.0083956,4.0,95,1,1,1,2,1,1,1,1,0,1,1,1,4,0,15602,6649,3652,54413,64170,43057
4603,rhaE10v_bxQFRZqLgin0KA,Prost Reno Biergarten,"180 W Peckham Ln, Ste 1070",Reno,NV,89502,39.487084,-119.797793,4.5,118,0,1,1,2,1,1,0,1,1,0,1,0,1,0,18616,6344,8448,48782,65655,43566
4604,hiTU0l7DofOZUXlqBSk8oQ,Krab Kingz,10537 E Washington St,Indianapolis,IN,46229,39.77443,-85.9795377,3.5,34,1,0,1,1,0,0,0,1,0,0,0,0,1,0,11683,4075,4426,55407,72085,27262
4605,B-TzVynfb5vUoWWJGEWi-Q,Cinco De Mayo Mexican restaurant - Hermitage,5770 Old Hickory Blvd,Hermitage,TN,37076,36.1718257,-86.6012159,3.5,101,1,0,1,1,1,1,0,1,0,1,1,1,3,0,16682,7082,6814,64392,77550,35230
4606,GaDeCypnvJKZBbv35hcpyg,United Buffet,4640 Roosevelt Blvd,Philadelphia,PA,19124,40.02968539,-75.10054333,3.5,64,1,0,1,2,1,1,0,1,0,1,0,0,4,0,22837,6329,7594,36884,56264,66691
4609,AooN1OtJJLh1G6A-8u1v8w,Turning Point - Newtown,2841 S Eagle Rd,Newtown,PA,18940,40.2352249,-74.9395563,4.0,135,1,1,1,2,1,1,0,1,1,1,0,0,4,0,11515,7555,3170,132214,176878,28825
4610,IhidGSRMJSnVeocxiOC20Q,Tampa Wine Room ,11724 N Dale Mabry Hwy,Tampa,FL,33618,28.05489661,-82.5052529,5.0,31,1,1,1,1,1,0,1,0,0,0,1,1,4,0,12100,5819,4724,68245,106081,25570
4611,yf6S5Rgf1vgC1wJveFEFFw,Glory Days Grill,10248 Big Bend Rd,Riverview,FL,33578,27.791887,-82.33963,4.0,58,1,1,0,2,0,1,0,1,0,1,0,1,1,0,20742,8818,7575,65142,77903,36693
4612,63_ijW0J_PtizFXsuAJQcQ,Bernie's Pub,12 Allison Rd,Oreland,PA,19075,40.11660781,-75.18378195,3.5,39,0,1,1,2,1,1,0,1,1,1,0,0,2,0,2843,1823,688,97490,115839,7354
4613,2_22EkV1jI7X-8eoKSfWiw,The Happy Bakery,102 W 6th St,O'Fallon,IL,62269,38.5877284,-89.9112505,4.5,34,1,1,1,1,1,0,1,1,1,0,1,0,1,0,12419,7397,3198,86493,112975,31348
4614,0ziXZC3-WTI6Ynrpoc50wQ,Church and Union Nashville,201 4th Ave N,Nashville,TN,37219,36.1639443,-86.7793046,3.5,32,0,0,0,1,1,0,1,0,0,1,0,0,1,0,777,137,640,85463,87750,1162
4615,oHMUB2xSWRY_7fXXKRZ-_A,Caffè! Caffè! - North Hullen,3547 N,Metairie,LA,70002,30.012999,-90.157521,4.0,85,0,1,1,2,1,1,0,1,1,1,1,0,2,0,8954,3438,4225,56361,81822,18879
4617,YaOdVL6-xE-pYwv3z9rWQQ,Al-Sham Palace,19651 Bruce B Downs Blvd,Tampa,FL,33647,28.153027,-82.352353,4.5,102,1,0,1,2,0,1,1,1,1,1,1,0,4,0,25565,14474,7443,89270,120593,55034
4618,KyDcAU41QDQpYAFyK6Q6hg,Sweet Box Cupcakes,339 S 13th St,Philadelphia,PA,19107,39.9455654,-75.1627808,4.5,268,1,1,1,2,1,1,0,1,0,1,0,0,1,0,7823,1743,5771,60676,91522,14875
4619,kBLMIhzYGoqKm2EK4GME8A,Buffalo Wild Wings,"201 Easton Rd, Ste 118",Warrington,PA,18976,40.2167175,-75.1388841,2.0,163,1,1,1,2,1,1,0,1,1,1,1,1,4,0,7354,4861,1802,106667,139685,19795
4620,_OuzpHfM9Xo4_uY3OOeKlw,Thai Basil,590 E Boise Ave,Boise,ID,83706,43.5801234,-116.1757104,3.5,31,1,0,1,2,1,1,0,1,0,0,0,0,1,0,14623,4965,7987,57664,80395,29732
4621,931Xzzxb0zOMj_6jgPJerQ,Big Bad Breakfast - Nashville,5304 Charlotte Ave,Nashville,TN,37209,36.1520891,-86.8517566,4.0,374,1,1,1,2,1,1,0,1,1,1,1,1,4,0,16513,5233,8829,61096,82024,35457
4622,zWNz-y5mVcJA364mVV-XRw,Crafted Palette,130 West St,Reno,NV,89501,39.5258023,-119.8153127,4.5,144,1,1,1,2,1,1,1,1,1,1,1,0,4,0,2776,332,2213,44393,55619,4252
4624,8KnMSrMuTI2AtHZ2LOI8OQ,Maurepas Foods,3200 Burgundy St,New Orleans,LA,70117,29.964925,-90.042961,4.0,196,0,0,1,2,1,0,1,1,1,1,0,0,3,0,11998,2259,7592,29663,52476,23389
4626,4BKKBx50oZaEczazjZ1ZEQ,OCF Coffee House,2930 Chestnut St,Philadelphia,PA,19104,39.95303318,-75.1836618,3.5,42,0,1,1,1,1,1,0,1,1,1,1,0,1,0,16508,2296,10575,28603,46430,51808
4627,jtMXBW4KZ11T6nmZs0-v8A,Inkas,5356 W 38th St,Indianapolis,IN,46254,39.8246027,-86.2534375,4.0,54,0,0,1,2,1,1,1,1,0,1,0,0,1,0,15672,4929,6951,46693,66661,38095
4628,mXQ5qcjeVZKBbyWrdQ2Z0A,Taffets Bakery & Store,1024 S 9th St,Philadelphia,PA,19147,39.9369392,-75.1584414,4.5,69,1,0,1,2,1,1,1,1,1,0,0,0,1,0,18239,6207,10326,86147,128426,36228
4629,HZoYgJ63l-kyskl48uFdFA,Pericos Restaurant,8901 4th St N,Saint Petersburg,FL,33702,27.85395768,-82.63832767,3.0,44,0,1,1,2,1,1,0,1,0,1,1,1,1,0,14139,5262,6602,54196,76814,29664
4631,iLdVQodnexGgwcJYuW3mYw,Istanbul Mediterranean Cuisine & Bar,2945 E Speedway Blv,Tucson,AZ,85716,32.2363842,-110.9286363,4.5,166,1,1,1,2,1,0,0,1,0,1,0,1,4,0,15259,3927,9170,42147,60003,32853
4632,znrgu7fSTbFa9LVm__CV7A,Twin Kegs,413 W Thompson Ln,Nashville,TN,37211,36.1107294,-86.7469186,3.5,71,1,1,1,1,1,0,0,1,1,1,1,1,4,0,29353,11228,13064,59075,75023,74755
4633,vxHqkD2ZMcDefFh_hhRd0A,Cafe V-dal,5 W Main St,Lansdale,PA,19446,40.241869,-75.283817,4.5,110,1,0,1,2,1,1,0,1,1,1,0,0,4,0,22647,12428,7315,87083,118037,55138
4636,W88TGPXccCsYPiLSTDjrLQ,AirHeads Trampoline Arena - Tampa,5072 W Linebaugh Ave,Tampa,FL,33624,28.038354,-82.530523,3.5,90,0,0,1,1,0,1,0,0,0,0,1,0,1,0,15043,7421,5070,71668,89008,37457
4638,YLKRxqxFwME0vywp3CAIpA,Ray's Restaurant & Malt Shop,14 E Germantown Pike,Norristown,PA,19401,40.101391,-75.277294,2.5,52,0,0,1,2,1,1,0,1,1,1,0,0,4,0,16282,5371,6383,58782,75523,41753
4639,36rz3AMPh8ETMJq7cTG2Rw,Opa! Greek Cuisine and Fun,2990 N Campbell Ave,Tucson,AZ,85719,32.2608684,-110.9433418,3.0,341,0,1,1,2,1,1,1,1,0,1,0,0,4,0,18119,3526,12170,34013,48571,43989
4640,2YYN4j68YD8S8PsygtJaQA,La Hacienda Mexican Restaurant,"4201 Neshaminy Blvd, Ste 128",Bensalem,PA,19020,40.1357605,-74.9509253,4.0,201,1,0,1,2,1,1,1,1,1,1,1,0,4,0,21379,10247,7290,70488,94744,55493
4645,tjgWLwtstmJ9fuSHFJASWQ,Bowld,"13160 E Colossal Cave Rd, Ste 100",Vail,AZ,85641,32.044667,-110.713692,4.0,45,0,0,0,1,0,0,0,1,0,0,0,0,1,0,9405,7105,1461,101108,113613,21753
4648,luOnXyYlRJUIPEC4PnaO9w,Stone House Q,333 54th Ave N,Nashville,TN,37209,36.150691,-86.853789,4.0,37,1,1,1,2,1,1,0,1,1,1,0,0,4,0,16513,5233,8829,61096,82024,35457
4649,Y-54SPI5_hXZ2t_7pOqO_g,Billy O'Neals,7445 W 10th St,Indianapolis,IN,46214,39.777804,-86.293314,4.0,31,0,0,1,2,1,1,0,1,1,1,1,1,1,0,9786,3193,4693,49789,64755,24306
4651,ft6I8fOrKQtVdM_trVXk8A,Origami,5130 Freret St,New Orleans,LA,70115,29.9348227,-90.1101383,3.5,217,0,1,1,2,1,1,1,1,0,1,0,0,4,0,14847,5248,8000,77961,119724,31695
4653,Al2YIlvkieMwo5hW_ZBgBA,Mystic Fish Seafood Grill & Bar,3253 Tampa Rd,Palm Harbor,FL,34684,28.0682737,-82.7247772,4.5,370,0,1,1,3,1,0,1,1,1,1,1,1,4,0,13173,5854,5766,56682,76217,25847
4656,1Jo4UC0YNPoPm9Gfur8tQA,McDonald's,140 W 1st Ave,Sun Valley,NV,89433,39.57765653,-119.7810549,1.0,39,1,0,1,1,0,1,0,1,1,1,0,0,1,0,6875,3309,1723,55960,67046,20188
4659,#NAME?,Corona Village Mexican Restaurant,21 E Fairview Ave,Meridian,ID,83642,43.6188783,-116.3928784,3.5,67,1,0,1,2,1,1,0,1,0,1,0,0,1,0,17854,10414,5003,75708,95807,37008
4660,oNDzbB73ipPBNbICtJquHw,Sahm's Place,2411 E 65th St,Indianapolis,IN,46220,39.87547372,-86.12134493,4.0,163,1,0,1,2,1,1,1,1,1,1,1,1,4,0,16879,6824,8390,77377,109485,34830
4662,f2KFAhVWZmFm63liyG8rVw,Che's Lounge,350 N 4th Ave,Tucson,AZ,85705,32.2262185,-110.9655644,3.5,165,0,1,1,1,1,0,0,0,1,1,0,0,3,0,24304,6115,12791,30885,42888,57521
4663,e-fXMT8R3j7BKMTh8xn8aw,Red's Chinese,3048 St Claude Ave,New Orleans,LA,70117,29.9675743,-90.04486521,4.0,384,1,1,1,2,1,1,0,1,0,1,1,1,4,0,11998,2259,7592,29663,52476,23389
4667,w0RHRKHj9g2G3H5LcrOiKw,Scratch Magoo's,1709 Delaware Ave,Wilmington,DE,19806,39.758436,-75.562838,4.0,80,0,1,1,2,1,0,0,1,1,1,0,1,4,0,5386,1076,3963,70256,110725,9560
4670,DcWGWEN_F1Ee0cFq6CxiEw,Ginger Asian Cuisines,7 Wilkins Station Rd,Medford,NJ,8055,39.91069972,-74.82431745,4.0,99,0,0,1,2,1,1,1,1,0,1,0,0,4,0,9895,6842,1936,132732,158477,27179
4673,0gdnntqYGYhUCTTf0a7Xcg,Tumerico On 4th Ave,402 E 4th St,Tucson,AZ,85705,32.23014035,-110.9654029,4.5,33,1,1,1,1,1,0,0,1,1,0,1,0,1,0,24304,6115,12791,30885,42888,57521
4674,_aITm6sZmcPzlAsaMZUQew,McDonald's,6600 Charlotte Pike,Nashville,TN,37209,36.138573,-86.8822418,1.5,46,1,0,1,1,1,1,0,1,1,1,0,0,4,0,16513,5233,8829,61096,82024,35457
4675,QNR-_GN_hg8YVCRq57xbJw,Broad Table Tavern,12 S Chester Rd,Swarthmore,PA,19081,39.901651,-75.35114,3.0,73,0,1,1,2,1,0,1,0,1,1,1,1,4,0,3599,1948,1253,106356,141203,10337
4678,KyM9U_EDe4mTd5v4fCEKSw,King Gyros,3410 S East St,Indianapolis,IN,46227,39.71656503,-86.14932586,4.0,99,1,0,1,1,1,1,1,1,1,1,1,0,4,0,22360,7952,10190,44873,59720,57086
4679,CYSPKiVdoPX3erovujnE9Q,Harp & Crown,1525 Sansom St,Philadelphia,PA,19102,39.95041704,-75.16642828,4.0,912,1,1,1,2,1,0,1,1,0,1,1,1,4,0,3365,765,2525,110096,177851,4705
4680,bn2jWrB_aXdQP4YoyUVVIQ,Seorabol Center City,1326 Spruce St,Philadelphia,PA,19107,39.9466893,-75.1639777,4.0,219,1,0,1,2,1,0,1,1,1,1,1,1,4,0,7823,1743,5771,60676,91522,14875
4683,Em0k3l76cFj-A0tqJbkWtQ,Koreana,37 S 19th St,Philadelphia,PA,19103,39.9523399,-75.1715586,3.5,93,1,0,1,2,1,1,0,1,1,1,0,0,1,0,15765,3571,11832,79110,134268,21908
4684,1y3y_ihpO6SHxK9MRdtSlw,Noon Mediterranean,1601 Market St,Philadelphia,PA,19103,39.9530971,-75.1673521,3.5,40,1,0,1,1,0,1,0,1,0,1,0,0,1,0,15765,3571,11832,79110,134268,21908
4686,zbhID412Pg3zXd_t3mswpg,Beyond Bread,7250 S Tucson Blvd,Tucson,AZ,85756,32.1202544,-110.937308,2.5,43,0,1,1,2,0,1,0,1,1,0,0,0,4,0,11730,5525,2811,53995,68790,35703
4688,F3mgKfdPGDJSQLJAGBinlw,SliCE,137 Egg Harbor Rd,Sewell,NJ,8080,39.781415,-75.099302,4.0,101,1,1,1,2,1,1,1,1,1,1,0,0,4,0,13425,8353,3116,107566,127108,37433
4690,0yOfDyqoJTp6-9qbyroyEw,Fred's Breakfast,13 E Randolph St,New Hope,PA,18938,40.365703,-74.951199,4.0,148,0,0,1,1,1,1,0,1,1,0,0,0,4,0,6044,3534,1936,118877,191503,13989
4692,YPO3NLr89k2mSNgYcPoRrg,Hibachi Grill & Supreme Buffet,7737 S Shelby St,Indianapolis,IN,46227,39.6543531,-86.136135,2.5,71,0,0,1,2,1,1,0,1,0,1,0,0,4,0,22360,7952,10190,44873,59720,57086
4693,TpUGMw7Lq9p5WT1t2qHD0A,Zoes Kitchen,"500 Rte 73 S, Ste B-7",Marlton,NJ,8053,39.877745,-74.918963,4.0,101,1,1,1,1,1,1,0,1,1,1,0,0,4,0,18109,10081,6155,99454,124618,45538
4694,obeaMfZrrJbe6pO5L0v91w,Aramingo's Best Pizza,2885 Aramingo Ave,Philadelphia,PA,19134,39.9846346,-75.1133642,4.0,38,1,0,1,1,1,1,0,1,0,0,0,0,1,0,21273,4436,8099,34374,47673,60675
4696,M_JpBboLPj4kWFchdnjlAA,Kings Street Food  Counter,937 Central Ave,Saint Petersburg,FL,33705,27.7713532,-82.6477425,3.5,213,1,1,1,1,1,1,0,1,1,1,1,1,4,0,11210,3916,5193,56914,73087,26435
4698,gdEZfd6RFXYmmXX71RDvbA,C'est Cheese,827 Santa Barbara St,Santa Barbara,CA,93103,34.422317,-119.698081,4.5,272,0,1,1,2,1,1,0,1,0,1,1,0,4,0,8194,3426,3314,84853,132474,20249
4699,HJhy636kx3WPwRsxkQ2Q4A,Diggs Pizza,4646 S Cole Rd,Boise,ID,83709,43.5605448,-116.2736973,4.5,93,1,1,1,2,0,1,0,1,1,1,0,0,2,0,21787,12577,6435,74941,93384,50034
4700,aQhn4CcEJokY6ADxUbzTaQ,Chickie's & Pete's Cafe,11000 Roosevelt Blvd,Philadelphia,PA,19116,40.1011515,-75.0081239,3.0,224,1,1,1,2,1,1,1,1,1,1,0,0,4,0,12850,6493,4458,58203,74943,33112
4701,HGpo8xl2mmYInwnHXenHCQ,Tazza Cafe,620 W Main St,Hendersonville,TN,37075,36.3030615,-86.6370577,2.5,139,1,0,1,2,1,1,0,1,1,1,0,0,4,0,24850,14487,6772,77320,104158,59256
4702,#NAME?,Don Tequila,817 Blackwood Clementon Rd,Lindenwold,NJ,8021,39.8048887,-75.020765,3.0,79,1,0,1,2,1,1,1,1,1,1,1,1,4,0,18973,6412,8520,55474,70557,44833
4703,s6rOJDtIABdQ8uLlXSUvgw,Flora,307 York Rd,Jenkintown,PA,19046,40.0952682,-75.1257602,4.0,50,0,0,0,3,1,0,1,1,0,0,1,0,1,0,7312,3914,2315,104193,142602,17809
4704,2asnS43SyxMKhc9Z9h2iSw,White Castle,55 W South,Indianapolis,IN,46225,39.7611695,-86.1596367,3.0,51,1,0,1,1,1,1,0,1,1,1,0,0,4,0,2163,516,1141,35694,47294,7319
4707,S2cKcdtOIDFyUfXYNPJUIw,The Turning Point of Marlton,300 Rte 73 S,Marlton,NJ,8053,39.89044566,-74.92350807,4.0,410,1,1,1,2,1,1,0,1,1,1,0,0,4,0,18109,10081,6155,99454,124618,45538
4708,fEqiXG_B-fn__w0aeF3nBQ,Laurel,1617 E Passyunk Ave,Philadelphia,PA,19148,39.9294148,-75.1637155,4.5,326,0,1,1,4,1,0,1,0,0,0,0,0,1,0,19493,7020,7959,60226,75581,49732
4709,WvPIOVr2dcUXcTWoloFmTw,Pizza Fusion,9556 W Linebaugh Ave,Tampa,FL,33626,28.0436679,-82.5909373,4.0,60,1,1,1,2,1,1,0,1,1,1,0,1,4,0,11059,6414,3076,113550,139754,27557
4710,vDqjHeX51JSaaI7zxR9jAA,Captain Sushi & Juicy Seafood,6253 N College Ave,Indianapolis,IN,46220,39.8690626,-86.14584753,4.0,50,1,1,1,2,1,1,1,1,1,1,0,0,1,0,16879,6824,8390,77377,109485,34830
4711,ujUb29BOYcUyhMcnqo4bWA,Two Stones Pub,1203 Christiana Rd,Newark,DE,19713,39.67460128,-75.67990201,4.0,328,1,1,1,2,1,0,1,1,1,1,1,1,4,0,11688,4771,4859,59030,75486,30408
4712,NGR_aVWJ-W_KHvBDrmFP1A,Atlantis Toucan Charlie's Buffet & Grille,3800 S Virginia St,Reno,NV,89502,39.4889497,-119.7937189,4.0,917,1,1,1,2,1,1,0,1,0,1,0,0,4,0,18616,6344,8448,48782,65655,43566
4714,jPbv87mQlX4jZTHogK7_Xg,Marabella Meatball Co.,1211 Walnut St,Philadelphia,PA,19107,39.948967,-75.1611418,3.5,132,1,1,1,1,1,1,1,1,1,1,0,1,4,0,7823,1743,5771,60676,91522,14875
4715,08zAKV1Sp-TIC_YVwBcBNw,Fred's Southern Kitchen,1401 W Dr Martin Luther King Blvd,Plant City,FL,33563,28.0115175,-82.1368103,4.5,314,1,0,1,2,1,1,0,1,1,1,1,0,4,0,9967,4131,3525,44969,56756,25488
4716,YOIZPPynvvZe9a5DVOMO-Q,Full Moon,23 Bridge St,Lambertville,NJ,8530,40.3654774,-74.9454784,3.5,149,0,0,1,2,1,1,0,1,0,1,0,0,4,0,2958,1577,1158,108963,161712,8071
4717,T8gJyppKf9GWogFTkead-A,Spread Bagelry,443 S St,Philadelphia,PA,19147,39.9419396,-75.15059318,2.5,51,1,0,0,1,0,0,0,1,1,0,0,0,1,0,18239,6207,10326,86147,128426,36228
4719,pyTot67NuIOmfoGp2laEtA,Johnny Carino's,920 North US 31,Greenwood,IN,46142,39.63044498,-86.12391567,3.5,134,1,0,1,2,1,1,1,1,1,1,1,1,4,0,12431,7441,3655,77155,94444,30413
4721,kayZz9qkn24KGspavVYxfA,McDonald's,1890 Bethleham Pike,Flourtown,PA,19031,40.11058905,-75.21330937,1.5,38,1,1,1,1,1,1,0,1,1,1,0,0,3,0,1648,889,523,113722,167372,4700
4723,Zofb78HMkCfyQ8S1jCmT9A,Libertee Grounds,1600 W Girard Ave,Philadelphia,PA,19130,39.97153367,-75.16320258,4.5,48,1,1,1,2,1,0,1,1,1,0,1,1,1,0,14431,4157,9196,88858,121662,24870
4725,J5tO8SB3xmR7jqFW0slA_g,Iron Hill Brewery TapHouse,260 Eagleview Blvd,Exton,PA,19341,40.0561939,-75.667209,3.5,41,1,1,0,1,0,0,0,1,0,0,0,1,1,0,7825,4563,2392,107338,135072,16709
4726,QlC0wdl3pIWnigTR4vDzVQ,5 n 2 Tokyo,526 S 4th St,Philadelphia,PA,19147,39.941934,-75.149329,3.0,99,1,0,1,2,1,1,1,1,0,1,0,0,1,0,18239,6207,10326,86147,128426,36228
4727,5bT-bq-u8rEjBopZg4LCeQ,Dry Dock Cafe,133 Delaronde St,New Orleans,LA,70114,29.9520215,-90.0546623,3.5,166,0,1,1,2,1,1,1,1,1,1,0,1,2,0,9140,2198,4714,33490,51590,22870
4728,j6usntbtSzFyuwx4n2mn1g,Las Bugambilias,15 S 3rd St,Philadelphia,PA,19106,39.94999402,-75.14541533,4.0,381,1,0,1,2,1,1,1,1,0,1,0,1,4,0,7625,2113,5180,116368,162885,11740
4730,kXmscD-bp90t4QAh0H7Dig,Picanha Brazilian Steakhouse,1111 Locust St,Philadelphia,PA,19107,39.9477453,-75.159542,4.0,87,1,1,1,3,1,0,1,1,1,1,1,1,4,0,7823,1743,5771,60676,91522,14875
4734,prs5eCXuRjqMi4rhQ6UhoA,Bacio Kitchen + Catering,17 W Broad St,Palmyra,NJ,8065,40.0039604,-75.0225524,4.5,31,1,0,1,1,1,0,0,1,1,0,0,0,1,0,2761,1236,966,73212,88124,7398
